,Time,User,Tweet,Location
0,2022-01-31 07:44:45+00:00,mrtp00,"@WakeuptimeNOW @jkenney I am fully vaxxed and boosted, have had #covid and have abided by all rules since this bega… https://t.co/Dd97cLfXkX",
1,2022-01-31 07:33:45+00:00,newsoneplace,(Express &amp; Star):#Covid two years on: #Survivors a stark reminder of the importance of jabs : It is two years since… https://t.co/YAZ5dGi1gn,
2,2022-01-31 07:32:54+00:00,DaveBladeBrown,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
3,2022-01-31 07:25:23+00:00,Dystopia84Fear,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,United Kingdom
4,2022-01-31 07:23:44+00:00,jetcat_jesus,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
5,2022-01-31 07:07:44+00:00,JayneJardine,"RT @ManorSchBrent: It is 2 years since Ofsted found us to be 'Outstanding', so our Headteacher, @TheRisePT CEO, and Chair of Trustees took…","London, England"
6,2022-01-31 06:59:34+00:00,cannolidiva,Thoughts during the #GeorgeKnapp break ..I haven’t had a professional haircut since beginning of damn #Covid… https://t.co/3UgCjwfX4n,"Desert Southwest, US"
7,2022-01-31 06:46:29+00:00,KennyS12401812,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,"Leicester, England"
8,2022-01-31 06:38:52+00:00,coxmatthew5,It's been two years now since the first #Covid patients started being admitted to hospital in #Newcastle.... Feels like two decades.,HERE ON EARTH... I THINK!
9,2022-01-31 06:29:56+00:00,aldhirabi,"RT @hnonoo75: Today marks one year since the renovated @BahrainAirport opened. Over the past year, I've welcomed many visitors to #Bahrain…",مملكة البحرين
10,2022-01-31 06:26:45+00:00,RyanDelongpre,"Since we locked down people in their homes they have been dying at a slower rate hence...

CHECK NOTES: 

#COVID va… https://t.co/cKhDPtELb1",Metaverse
11,2022-01-31 06:18:12+00:00,VasantK1989,RT @PsychShree: @ANI @ani_digital @AHindinews @NavbharatTimes @BBCHindi @ndtvindia @ZeeNews @CNNnews18 @DDNewsHindi Crores of ₹ with #VGNJe…,
12,2022-01-31 05:59:52+00:00,UNITEDSIKHS_AU,"RT @unitedsikhs: It was overwhelming to hear that S. Than Shah Singh has completely recovered from COVID in this Third wave. 

#UNITEDSIKHS…",Australia
13,2022-01-31 05:56:27+00:00,andrew_voisin,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,"Holguin, Cuba"
14,2022-01-31 05:50:34+00:00,bsaxton13,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
15,2022-01-31 05:46:39+00:00,jackiesoftly,RT @Susanne30037521: Today a friend told me that keeping the border closed was bad for her mental health as she hadn’t seen her Mum since b…,
16,2022-01-31 05:36:38+00:00,Susanne30037521,Today a friend told me that keeping the border closed was bad for her mental health as she hadn’t seen her Mum sinc… https://t.co/CUBQedXxYQ,"Perth, Western Australia"
17,2022-01-31 05:22:14+00:00,JonSmall503,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
18,2022-01-31 05:08:53+00:00,zoobi7827,"I got #Covid positive, this after having a severe covid last year during the peak of Delta wave and requiring O2 su… https://t.co/knq9XaVF14",Bengaluru
19,2022-01-31 05:02:16+00:00,AakashDhus,RT @PsychShree: Crores of ₹ with #VGNJewellers and not returning our hard earned money. #Kalyan #Dombivli #Mulund #Ulhasnagar branches shut…,"Deolali Pravara, India"
20,2022-01-31 05:01:08+00:00,Abhishek_bb,"RT @mauritianlogic: WHO reports that #Mauritius has had over 70k #covid cases since 2020.
Meanwhile, the figure being shown to citizens by…",Mauritius
21,2022-01-31 04:50:00+00:00,AsTimeGoesBy0,RT @_BridgeTooFar: The number of Australians killed by #covid since the LNP’s #LetItRip doesn’t rate a mention by the #MurdochGutterMedia p…,Australia #ClimateEmergency 
22,2022-01-31 04:39:55+00:00,anne_naylor,"WA #covid update 

12 new local cases since 8pm - all linked, some infectious in community 
7 belong to nightclub c… https://t.co/JNSBPXX8GP","Perth (Boorloo), WA"
23,2022-01-31 04:27:25+00:00,LynetteRousseau,RT @FreedomOvrFear0: Scott Kirby said since they mandated the vaccine no one has died of #covid but how many are dying for the vaccine and…,
24,2022-01-31 04:26:18+00:00,PMPmagToday,"📆#TodayInCOVID
85 new deaths &amp; 62,399 new #COVID infections in 24h. 6,841 deaths in 28 days – highest since 16-Mar-… https://t.co/0VX8HNsojE",UK
25,2022-01-31 04:18:08+00:00,michael99516342,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,"Scottsdale, AZ"
26,2022-01-31 04:00:55+00:00,Porti86862233,@Marky_1022 @edubergeek @MdBreathe But was it evil because the vaccine was oversold to the gov and they thought it… https://t.co/0qRbraon8v,
27,2022-01-31 03:56:40+00:00,suepafan,"RT @bluewave0712: @RonFilipkowski @grandpamike1 As a member of both law enforcement community &amp; responder community, this sickens me. 
Our…",
28,2022-01-31 03:50:48+00:00,philYoung17,RT @_BridgeTooFar: The number of Australians killed by #covid since the LNP’s #LetItRip doesn’t rate a mention by the #MurdochGutterMedia p…,"Box Hill, Sydney"
29,2022-01-31 03:49:42+00:00,_BridgeTooFar,The number of Australians killed by #covid since the LNP’s #LetItRip doesn’t rate a mention by the… https://t.co/HUYL0AHBOO,Straya
30,2022-01-31 03:42:39+00:00,SpiroSpianada,"https://t.co/eSUuL1ybDA

🎧 #ICYMI: There's growing optimism that 2022 will turn out to be the strongest year for As… https://t.co/amVKY8zZ3y",chicago
31,2022-01-31 03:33:53+00:00,missy1275,"RT @bluewave0712: @RonFilipkowski @grandpamike1 As a member of both law enforcement community &amp; responder community, this sickens me. 
Our…",East Central Florida
32,2022-01-31 03:27:45+00:00,FKavkakova,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,Dystopia
33,2022-01-31 03:14:43+00:00,SM80Jhawk,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
34,2022-01-31 03:12:56+00:00,UpdatesOil,RT @PlattsOil: 🎧 #ICYMI: There's growing optimism that 2022 will turn out to be the strongest year for Asian #oil demand since the outbreak…,
35,2022-01-31 03:00:34+00:00,fhdtokyo,"Since the infection of the Omicron strain is spreading, let's make sure we do some basic and important things.
Wear… https://t.co/IWHgi8X8qF","Tokyo-to, Japan"
36,2022-01-31 03:00:17+00:00,PlattsOil,🎧 #ICYMI: There's growing optimism that 2022 will turn out to be the strongest year for Asian #oil demand since the… https://t.co/oOdBi2lrX6,London
37,2022-01-31 02:32:17+00:00,Squaremoon8,"RT @rads: Anyone having pain under the ribs (sides or lower chest area) when you sneeze or laugh? 
Am assuming this is a symptom after Covi…",
38,2022-01-31 02:30:00+00:00,BloombergQuint,"China’s manufacturing sector expanded at a slower pace in January as a seasonal slowdown, #Covid-19 outbreaks and a… https://t.co/BxM4OiZ24F","Mumbai, India"
39,2022-01-31 02:19:50+00:00,provaxdocs,"RT @skepticalraptor: The @Novavax #COVID #vaccine — it's coming soon to the USA and Europe, and we should not ignore it, since it might be…",
40,2022-01-31 02:18:48+00:00,JrehnJ,"@MsPraxis @MatthewBevan @NewtonMark I got my booster 8 days ago, thank heavens.
It meant disabled g'son &amp; I could s… https://t.co/IT6WLJkqpi","Adelaide Hills, SA"
41,2022-01-31 02:15:57+00:00,shatton299,"RT @freedom_element: Today is 687 days since “2 weeks to flatten the curve” was announced.

Over 70% of people that have died with #COVID h…","Townsville, Queensland"
42,2022-01-31 02:14:38+00:00,kumar0amit4,RT @ndtv: Beijing Reports Highest #Covid Cases Since June 2020 As Olympics Near https://t.co/O9ZX9EFZ78 https://t.co/AaVZb7yTci,"Maharashtra, India"
43,2022-01-31 01:41:23+00:00,onemarymarks,"@HarryCicma @RafaelNadal @DjokerNole Since you tagged them, I thought I’d join the party. It’s an asterisked slam d… https://t.co/Obf55l30bC",United States
44,2022-01-31 01:37:08+00:00,jenkers_en,#Beijing reports highest #Covid cases since June 2020 as Olympics loom https://t.co/mar1z7zZ8l https://t.co/ns6cSXNrKf,San Francisco
45,2022-01-31 01:18:38+00:00,mauritianlogic,"WHO reports that #Mauritius has had over 70k #covid cases since 2020.
Meanwhile, the figure being shown to citizens… https://t.co/GpxjzBsl9X",Mauritius
46,2022-01-31 01:18:27+00:00,CaroleM81717200,"RT @freedom_element: Today is 689 days since “2 weeks to flatten the curve” was announced.

Over 70% of people that have died with #COVID h…",
47,2022-01-31 01:08:16+00:00,rads,"Anyone having pain under the ribs (sides or lower chest area) when you sneeze or laugh? 
Am assuming this is a symp… https://t.co/tH6w2hGCCA",Washington DC
48,2022-01-31 01:07:34+00:00,LeanneHanuschuk,RT @MrDash109: mRNA vaccines have been around since the 90's for crissake ..  and long ago found useful against Hep C and rabies; #covid va…,
49,2022-01-31 00:54:20+00:00,whimgrrl,So many places r dropping all #COVID restrictions in this not-even-gonna-try-anymore mass infection policy. Masks w… https://t.co/jjfCHSQhuP,occupied Ktunaxa territory
50,2022-01-31 00:20:59+00:00,VelvetPork,"If U believe anything @RepMTG spews YOU LOSE, anyone anywhere on any planet please name 1 thing… https://t.co/43mD9dS6Tl","Los Angeles, Ca."
51,2022-01-31 00:01:41+00:00,cobaltjacket,"RT @skepticalraptor: The @Novavax #COVID #vaccine — it's coming soon to the USA and Europe, and we should not ignore it, since it might be…",Chicago Metropolitan Area
52,2022-01-30 23:58:29+00:00,Racer05X,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,"Kansas City, MO"
53,2022-01-30 23:48:36+00:00,chelseaboots,RT @MrDash109: mRNA vaccines have been around since the 90's for crissake ..  and long ago found useful against Hep C and rabies; #covid va…,3rd Rock From The Sun /            Followed by Gary Barlow so yeah my life is pretty much complete
54,2022-01-30 23:46:03+00:00,jmstearns67,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,"Arlington, VA"
55,2022-01-30 23:30:04+00:00,skepticalraptor,"The @Novavax #COVID #vaccine — it's coming soon to the USA and Europe, and we should not ignore it, since it might… https://t.co/V6HDX8soT8","Los Angeles, CA"
56,2022-01-30 23:21:36+00:00,jack_klassen,"RT @freedom_element: Today is 689 days since “2 weeks to flatten the curve” was announced.

Over 70% of people that have died with #COVID h…","Alberta, Canada"
57,2022-01-30 23:00:12+00:00,skepticalraptor,"The @Novavax #COVID #vaccine — it's coming soon to the USA and Europe, and we should not ignore it, since it might… https://t.co/Syj729SSdK","Los Angeles, CA"
58,2022-01-30 22:47:55+00:00,Adrian7745,"RT @skepticalraptor: The @Novavax #COVID #vaccine — it's coming soon to the USA and Europe, and we should not ignore it, since it might be…",32.82°N 117.09°W
59,2022-01-30 22:47:31+00:00,PhilXenos2,@mjrowland68 @BreakfastNews @BorisJohnson @SciNate @TheDohertyInst @WSWSArts @seg_ie @SEP_Britain #BREAKING_NEWS… https://t.co/9BnfeDtetI,
60,2022-01-30 22:35:25+00:00,LeVangieMichael,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
61,2022-01-30 22:33:41+00:00,giddyup79935351,"RT @freedom_element: Today is 689 days since “2 weeks to flatten the curve” was announced.

Over 70% of people that have died with #COVID h…","Victoria, Australia"
62,2022-01-30 22:32:22+00:00,lizditz,"RT @skepticalraptor: The @Novavax #COVID #vaccine — it's coming soon to the USA and Europe, and we should not ignore it, since it might be…","San Mateo County, California"
63,2022-01-30 22:30:04+00:00,skepticalraptor,"The @Novavax #COVID #vaccine — it's coming soon to the USA and Europe, and we should not ignore it, since it might… https://t.co/GCxAIGQ7jp","Los Angeles, CA"
64,2022-01-30 22:28:33+00:00,coryripley,RT @MrDash109: mRNA vaccines have been around since the 90's for crissake ..  and long ago found useful against Hep C and rabies; #covid va…,"Vancouver, BC"
65,2022-01-30 22:18:42+00:00,yuvrajmma,"@milindrunning I've been telling this since 1.5 years now

#Covid &amp; #vaccine  is a scam to take our freedom &amp; integ… https://t.co/qLBmYNjiyC",
66,2022-01-30 22:17:19+00:00,joltdude,"RT @skepticalraptor: The @Novavax #COVID #vaccine — it's coming soon to the USA and Europe, and we should not ignore it, since it might be…",United States
67,2022-01-30 22:15:26+00:00,MSOswald,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,"Whitewater District Boise, ID"
68,2022-01-30 22:14:01+00:00,hungry_ghost2,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
69,2022-01-30 22:10:16+00:00,seawolfe72,"RT @freedom_element: Today is 689 days since “2 weeks to flatten the curve” was announced.

Over 70% of people that have died with #COVID h…","Brisbane, Queensland"
70,2022-01-30 22:06:26+00:00,MrDash109,mRNA vaccines have been around since the 90's for crissake ..  and long ago found useful against Hep C and rabies;… https://t.co/J3Sj8QnbAv,Ontario Canada
71,2022-01-30 22:04:55+00:00,NoniLibre,"RT @freedom_element: Today is 689 days since “2 weeks to flatten the curve” was announced.

Over 70% of people that have died with #COVID h…",Australia 
72,2022-01-30 21:59:28+00:00,skepticalraptor,"The @Novavax #COVID #vaccine — it's coming soon to the USA and Europe, and we should not ignore it, since it might… https://t.co/2QGFVvzB2j","Los Angeles, CA"
73,2022-01-30 21:57:19+00:00,l0stZsignal,"Having covid is really confusing. I'm testing negative now, but since being sick I spend the first two hours every… https://t.co/FQafoK4CTj",in unprecedented times
74,2022-01-30 21:37:17+00:00,scott_rohan,"RT @freedom_element: Today is 689 days since “2 weeks to flatten the curve” was announced.

Over 70% of people that have died with #COVID h…",
75,2022-01-30 21:30:47+00:00,freedom_element,"Today is 689 days since “2 weeks to flatten the curve” was announced.

Over 70% of people that have died with… https://t.co/PavlvUSux9","Sydney, New South Wales"
76,2022-01-30 20:55:04+00:00,KAMS44505949,RT @ndtv: Beijing Reports Highest #Covid Cases Since June 2020 As Olympics Near https://t.co/O9ZX9EFZ78 https://t.co/AaVZb7yTci,
77,2022-01-30 20:50:23+00:00,Maximilianvict9,RT @ndtv: Beijing Reports Highest #Covid Cases Since June 2020 As Olympics Near https://t.co/O9ZX9EFZ78 https://t.co/AaVZb7yTci,
78,2022-01-30 20:46:42+00:00,kr31133,RT @ndtv: Beijing Reports Highest #Covid Cases Since June 2020 As Olympics Near https://t.co/O9ZX9EFZ78 https://t.co/AaVZb7yTci,Germany
79,2022-01-30 20:41:40+00:00,karenfriesen11,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,Canada
80,2022-01-30 20:39:43+00:00,hephsyyy,"#IndexApplication, we developed in-house at #BBMP #COVID #WarRoom under @anilkumar_ias
sirs guidance is doing #data… https://t.co/k9MFbUyEG8","Bengaluru, India"
81,2022-01-30 20:37:17+00:00,DavidE678567,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
82,2022-01-30 20:37:02+00:00,EmyaDiessel,"RT @MakesYouWonder8: @Donaldwho666 @NototyrannyNOW 2. Since the #CDC made #lyme testing fail in the 90s, hundreds of thousands to millions…",
83,2022-01-30 20:36:00+00:00,help_for_nowzad,"RT @lolly_loopy: Been a while since we had a #holiday due to #COVID. If you plan to #Travel, please take #Turkey off your list✖️. There's n…",
84,2022-01-30 20:33:34+00:00,world_news_eng,RT @ndtv: Beijing Reports Highest #Covid Cases Since June 2020 As Olympics Near https://t.co/O9ZX9EFZ78 https://t.co/AaVZb7yTci,
85,2022-01-30 20:30:00+00:00,ndtv,Beijing Reports Highest #Covid Cases Since June 2020 As Olympics Near https://t.co/O9ZX9EFZ78 https://t.co/AaVZb7yTci,India
86,2022-01-30 20:28:34+00:00,MakesYouWonder8,"@Donaldwho666 @NototyrannyNOW 2. Since the #CDC made #lyme testing fail in the 90s, hundreds of thousands to millio… https://t.co/IVi9YRXebR",
87,2022-01-30 20:22:49+00:00,LordMarcus,"@GOP @SenateGOP @HouseGOP Look at this, #Republican clean sweep the election -- there hasn't been a unanimous Elect… https://t.co/QoU3RAmGB5",
88,2022-01-30 20:18:35+00:00,RWBandOrange,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,"Colorado, USA"
89,2022-01-30 20:12:14+00:00,Wuttevr,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
90,2022-01-30 20:09:59+00:00,proEU2000,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
91,2022-01-30 20:08:24+00:00,waynealbright5,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,Thee Great State of Ohio
92,2022-01-30 20:07:09+00:00,FarOutFabDesign,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
93,2022-01-30 20:06:30+00:00,Yep_MeAgain,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
94,2022-01-30 20:06:03+00:00,MelanieEresman,"RT @Comoncentscourt: @TheoFleury14 Since when is Freedom...Toxic...

Oh wait ...since @JustinTrudeau

Arrived ... #Canada #Covid","Calgary, Alberta"
95,2022-01-30 20:05:20+00:00,ParrotforTruth,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
96,2022-01-30 20:05:13+00:00,Comoncentscourt,"@TheoFleury14 Since when is Freedom...Toxic...

Oh wait ...since @JustinTrudeau

Arrived ... #Canada #Covid",THE FIRST POST NATIONAL STATE!
97,2022-01-30 20:01:59+00:00,WillcoGBO,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,United States
98,2022-01-30 19:57:03+00:00,BanffRachel,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
99,2022-01-30 19:57:00+00:00,KMH777555111,"RT @lolly_loopy: Been a while since we had a #holiday due to #COVID. If you plan to #Travel, please take #Turkey off your list✖️. There's n…",
